,episode,episode of,original air date,plot,rating,season,title,votes,year
49,1,Community,2011-09-22,"
    Jeff's plan to keep Pierce out of the Study Group backfires when he gets kicked out instead, Abed copes with bad news about Cougar Town, and Dean Pelton's authority is challenged by another Greendale dean.    ",8.201234567891,3,Biology 101,1795.0,2011
50,2,Community,2011-09-29,"
    When another over-achieving student steals Annie's idea for a Model U.N. club, the Study Group comes to her rescue. Meanwhile, new security cop Chang tries to stop Britta's last-ditch efforts to create a campus disturbance.    ",8.201234567891,3,Geography of Global Conflict,1733.0,2011
51,3,Community,2011-10-06,"
    Chaos ensues when the Study Group tries to divide itself up into biology lab partners, and Chang appoints himself security ""detective,"" and tries to solve a mystery that is only in his head.    ",8.101234567891,3,Competitive Ecology,1722.0,2011
52,4,Community,2011-10-13,"
    At Abed and Troy's housewarming party, Jeff decides to let the decision on who gets the pizza rest on the roll of the dice, leaving Abed to contemplate six alternate realities.    ",9.801234567891,3,Remedial Chaos Theory,5663.0,2011
53,5,Community,2011-10-27,"
    During her pre-Halloween party, Britta gets everyone to tell a spooky story so that she can find out which member of the study group scored out as a psychopath on their psychology profiles.    ",8.801234567891,3,Horror Fiction in Seven Spooky Steps,2013.0,2011
54,6,Community,2011-11-03,"
    Pierce gets a visit from his bigoted father after his wipes become a hit in the gay community, and the dean of the School of Refrigeration recruits Troy to become his student.    ",7.701234567891,3,Advanced Gay,1657.0,2011
55,7,Community,2011-11-10,"
    The study group helps Annie move in with Troy and Abed - except for Jeff, who lies to get out of it but is busted by dean Pelton.    ",8.601234567891,3,Studies in Modern Movement,1809.0,2011
56,8,Community,2011-11-17,"
    Dean Pelton is given the task to make an updated Greendale television commercial, but the shoot soon goes over budget and spirals out of control, descending the dean into madness--with Abed documenting the entire experience.    ",9.001234567891,3,Documentary Filmmaking: Redux,2146.0,2011
57,9,Community,2011-12-01,"
    Shirley teaches Jeff foosball so that he can beat a team of cocky, obnoxious Germans, while Annie creates an overly elaborate ruse so that she doesn't have to tell Abed that she broke his special edition The Dark Knight DVD.    ",8.501234567891,3,Foosball and Nocturnal Vigilantism,1787.0,2011
58,10,Community,2011-12-08,"
    A holiday-themed parody of ""Glee"" in which Abed tries to persuade each member of the Study Group to join the glee club so that they can qualify for regionals.    ",8.701234567891,3,Regional Holiday Music,2125.0,2011
59,11,Community,2012-03-15,"
    Pierce comes to Shirley with a business proposal just as she's about to get married to Andre. Meanwhile, Troy and Abed try to act ""normal"" for the wedding, Britta discovers a new skill, and Jeff struggles with his toast.    ",7.801234567891,3,Urban Matrimony and the Sandwich Arts,1677.0,2012
60,12,Community,2012-03-22,"
    The members of the Study Group take jobs as celebrity impersonators to pay off Abed's debt to a celebrity impersonator business, but can Jeff be Ryan Seacrest without his fragile ego spiral out of control?    ",8.101234567891,3,Contemporary Impressionists,1694.0,2012
61,13,Community,2012-03-29,"
    Shirley and Pierce recruit Britta to sabotage the new Subway restaurant in the cafeteria. Jeff finds a hate-letter in the school locker he never realized he had. Troy and Abed begin constructing a pillow fort, but thanks to some outside manipulation Troy splits off to build his own blanket fort.    ",8.201234567891,3,Digital Exploration of Interior Design,1663.0,2012
62,14,Community,2012-04-05,"
    The United Forts of Pillowtown, headed by Abed, is at war with the Legit Republic of Blanketsburg, ruled by Troy. Annie sets up a hospital zone to treat casualties on both sides. Britta takes a stab at war-photography. Jeff tries to reunite two former friends turned mortal enemies using sarcasm.    ",9.301234567891,3,Pillows and Blankets,2849.0,2012
63,15,Community,2012-04-12,"
    While Britta struggles to stay away from her old carny boyfriend, Jeff becomes obsessed with their relationship. Meanwhile, the dean stops by Troy and Abed's to recruit Troy for the dean of the school of refrigeration.    ",8.201234567891,3,Origins of Vampire Mythology,1673.0,2012
64,16,Community,2012-04-19,"
    The study group takes a three hour lunch. Annie suggests Abed shows her how the Dreamatorium works so Troy and Britta can be together. But their 'Inspector Spacetime' simulation soon turns into a hospital bound drama in which Abed takes on the personalities of the other group members.    ",8.701234567891,3,Virtual Systems Analysis,1887.0,2012
65,17,Community,2012-04-26,"
    Presented like an episode of Law & Order (1990), the study group attempts to find out who squashed their biology project: a yam. Troy and Abed become detectives, Shirley is their boss, Jeff and Annie pose as prosecuting attorneys, while Pierce is an informant and Britta a lab tech.    ",9.401234567891,3,Basic Lupine Urology,2723.0,2012
66,18,Community,2012-05-03,"
    A fellow student has died and Biology class has been canceled, meaning everyone has to retake it in summer school. When the memorial service turns into a riot, Chang is granted special authoritative powers.    ",8.301234567891,3,Course Listing Unavailable,1594.0,2012
67,19,Community,2012-05-10,"
    When Abed claims the Dean has been replaced by a doppelgänger he is forced to take psychiatric treatment. Naturally, the rest of the study group joins him at his session with Dr. Heidi.    ",9.201234567891,3,Curriculum Unavailable,2108.0,2012
68,20,Community,2012-05-17,"
    The Study Group must help Hawthorne win a video game so that he can claim his inheritance, but somebody may be out to ensure that he loses.    ",9.501234567891,3,Digital Estate Planning,2990.0,2012
69,21,Community,2012-05-17,"
    The Study Group, now known as the ""Greendale Seven,"" launches a plot to rescue the real dean Pelton and end Chang's reign of terror over Greendale.    ",9.101234567891,3,The First Chang Dynasty,1979.0,2012
70,22,Community,2012-05-17,"
    Jeff faces an old nemesis as Shirley and Pierce square off in Greendale court, Abed succumbs to his evil alter ego, and Troy decides to meet his destiny at air conditioning school.    ",8.901234567891,3,Introduction to Finality,1813.0,2012
71,1,Community,2013-02-07,"
    While the Dean creates a Hunger Games-style competition for admission into a History of Ice Cream class, the final class Jeff needs to graduate and a fear of graduation causes Abed to retreat to his happy place.    ",7.401234567891,4,History 101,2042.0,2013
72,2,Community,2013-02-14,"
    The study group's Halloween plans are put on hold when Pierce locks himself in the panic room of his ""haunted"" mansion.    ",7.601234567891,4,Paranormal Parentage,1671.0,2013
73,3,Community,2013-02-21,"
    At the Inspector SpaceTime Convention, Abed finds a new ""soulmate,"" Jeff discovers he looks like one of the show's villains, Shirley and Pierce join a focus group, and Annie pretends to be Jeff's wife.    ",7.401234567891,4,Conventions of Space and Time,1620.0,2013
74,4,Community,2013-02-28,"
    The Study Group loses access to the study room to the German foosballers, and Chang returns to campus, claiming to be suffering from ""Changnesia.""    ",7.201234567891,4,Alternative History of the German Invasion,1500.0,2013
75,5,Community,2013-03-07,"
    While Jeff and Britta spend Thanksgiving with Jeff's newly-discovered father and brother, the rest of the Study Group tries to escape from Shirley's dysfunctional family Thanksgiving celebration.    ",7.501234567891,4,Cooperative Escapism in Familial Relations,1522.0,2013
76,6,Community,2013-03-14,"
    Abed makes a new documentary chronicling Greendale's effort to get a research grant for ""Changnesia,"" as well as Jeff's efforts to prove that Chang is faking his disease.    ",7.601234567891,4,Advanced Documentary Filmmaking,1448.0,2013
77,7,Community,2013-03-21,"
    Dean Pelton and Annie try to land a ""whale"" student while Jeff is assigned to keep Pierce occupied. Meanwhile, Troy and Shirley take a physical education education course, and Abed creates a fraternity to annoy the dean.    ",6.801234567891,4,Economics of Marine Biology,1451.0,2013
78,8,Community,2013-04-04,"
    While the dean sets up a Sadie Hawkins dance, Britta puts together a competing Sophie B. Hawkins dance. Meanwhile, Abed is set up with two dates to both dances by Annie and Shirley.    ",7.901234567891,4,Herstory of Dance,1569.0,2013
79,9,Community,2013-04-11,"
    Dean Pelton prompts the study group to use puppets to relive the traumatic events of a recent adventure.    ",7.001234567891,4,Intro to Felt Surrogacy,1687.0,2013
80,10,Community,2013-04-18,"
    Jeff organizes a lovely holiday gathering at his apartment but Annie secretly invites Professor Cornwallis, to get in his good graces. When it becomes apparent that Professor Cornwallis intends to give them a bad grade on their joint history paper, the atmosphere quickly deteriorates and the group takes decisive action.    ",7.601234567891,4,Intro to Knots,1418.0,2013
81,11,Community,2013-04-25,"
    When Annie and Shirley learn that Leonard is actually holding the spot as the class valedictorian, they join forces to bring him down. Meanwhile, Troy and Abed reminisce about one of their favorite body switching films, ""Freaky Friday,"" and when they inadvertently re-enact a critical scene, things start becoming a little funky at Greendale.    ",8.101234567891,4,Basic Human Anatomy,1484.0,2013
82,12,Community,2013-05-02,"
    Abed's research into the study group's history uncovers an overlooked series of chance encounters that led each of them to Greendale.    ",8.201234567891,4,Heroic Origins,1540.0,2013
83,13,Community,2013-05-09,"
    A plan to celebrate Jeff's (Joel McHale) early graduation is unexpectedly disrupted by the study group's evil doppelgangers from the Darkest Timeline.    ",7.801234567891,4,Advanced Introduction to Finality,1560.0,2013
84,1,Rick and Morty,2013-12-02,"
    A sociopathic scientist drags his innocent grandson on dangerous inter-dimensional adventures.    ",8.001234567891,1,Pilot,8468.0,2013
85,2,Rick and Morty,2013-12-09,"
    Rick helps Jerry out with the dog.    ",8.801234567891,1,Lawnmower Dog,8535.0,2013
86,3,Rick and Morty,2013-12-16,"
    It's Christmas. Rick shrinks Morty, injecting him into a homeless man to save Anatomy Park. Jerry tries to have a Christmas free of electronic devices, but regrets his decision when his parents introduce him to their new friend.    ",8.401234567891,1,Anatomy Park,7745.0,2013
87,1,Community,2014-01-02,"
    Having failed in his second go-round as a lawyer, and unable to gather evidence for a potential lawsuit against Greendale, Jeff tries to convince the other former members of the Study Group to sue the school.    ",8.101234567891,5,Repilot,1806.0,2014
88,2,Community,2014-01-02,"
    Jeff blows off his new teaching job at Greendale until Annie signs up for his class and forces him to teach, and Abed loses his religion when he takes a course about whether Nicolas Cage is good or bad.    ",8.601234567891,5,Introduction to Teaching,1811.0,2014
89,3,Community,2014-01-09,"
    The college is imbued with panic when an unidentified person returns to dropping coins down people's butts and Annie takes it upon herself to find out who is behind it all.    ",9.001234567891,5,Basic Intergluteal Numismatics,2127.0,2014
90,4,Rick and Morty,2014-01-13,"
    Rick and Morty try to get to the bottom of a mystery.    ",8.701234567891,1,M. Night Shaym-Aliens!,7832.0,2014
91,4,Community,2014-01-16,"
    After Pierce's unexpected passing, a team of investigators headed by the no-nonsense Mr. Stone arrives at Greendale to subject the study group to lie detector tests before they can be considered for distributions under the will.    ",9.201234567891,5,Cooperative Polygraphy,2109.0,2014
92,5,Rick and Morty,2014-01-20,"
    Rick provides the family with a solution to their problems, freeing him up to go on an adventure led by Morty.    ",9.001234567891,1,Meeseeks and Destroy,8826.0,2014
93,5,Community,2014-01-23,"
    As a going-away present to Troy before his around-the-world trip, Abed sets up a high-stakes game of ""Hot Lava"" at the college, but Britta suspects that the game is just masking his real feelings about Troy's departure.    ",9.401234567891,5,Geothermal Escapism,2433.0,2014
94,6,Rick and Morty,2014-01-27,"
    After Rick gives Morty a love potion for prom, things quickly spiral out of control when the serum splices with the flu - causing it to spread. Rick and Morty scramble to cure the crisis, making matters worse in the process.    ",9.101234567891,1,Rick Potion #9,8646.0,2014
95,6,Community,2014-01-30,"
    Annie and Hickey fight Greendale bureaucracy to install a bulletin board, Abed learns a lesson about sign language, and the others discover the challenges of planning a properly sensitive school dance.    ",8.201234567891,5,Analysis of Cork-Based Networking,1536.0,2014
96,7,Community,2014-02-27,"
    Jeff helps Duncan score a date with Britta, and Abed has a Hickey encounter on his way to the movie theater.    ",7.901234567891,5,Bondage and Beta Male Sexuality,1343.0,2014
97,8,Community,2014-03-06,"
    When developers beta test a new app with Greendale students, the campus soon descends into a dystopian society where status is determined by their app standing.    ",9.001234567891,5,App Development and Condiments,1862.0,2014
98,7,Rick and Morty,2014-03-10,"
    Morty becomes a father to an alien baby, while Rick and Summer get trapped in a dangerous dimension.    ",8.101234567891,1,Raising Gazorpazorp,7130.0,2014
99,9,Community,2014-03-13,"
    Whilst cleaning the storage room Jeff, Hickey and Shirley find a pile of unused hidden textbooks and plot a way to make the best out of it. Meanwhile, Annie and Abed are trying to find a new roommate.    ",8.101234567891,5,VCR Maintenance and Educational Publishing,1408.0,2014
100,8,Rick and Morty,2014-03-17,"
    Rick hooks up the family's TV with interdimensional cable, allowing them to watch infinite TV from across the multiverse.    ",8.801234567891,1,Rixty Minutes,8146.0,2014
101,10,Community,2014-03-20,"
    The group proposes a ""sequel"" to Dungeons & Dragons night when they need to get a skeptical professor Hickey to bond with his estranged son.    ",8.501234567891,5,Advanced Advanced Dungeons & Dragons,1479.0,2014
102,9,Rick and Morty,2014-03-24,"
    Summer gets a job at a pawn shop owned by the devil. Jerry helps Morty with his science fair project.    ",8.501234567891,1,Something Ricked This Way Comes,7088.0,2014
103,11,Community,2014-04-03,"
    The entire group becomes part of the cast of a classic ""G.I. Joe"" cartoon from the 1980s, which turns out to be part of Jeff's coping mechanism as he deals with a monumental life event.    ",8.001234567891,5,G.I. Jeff,1567.0,2014
104,10,Rick and Morty,2014-04-07,"
    Rick, falsely blamed for Murder by the council of Ricks, begins a cross-dimensional pursuit with the authorities while attempting to prove his innocence.    ",9.401234567891,1,Close Rick-counters of the Rick Kind,9020.0,2014
105,12,Community,2014-04-10,"
    After a liability audit, the Save Greendale Committee discovered that they have, in fact, saved Greendale - until they discover that as a result of the successful audit, the school is being sold to Subway.    ",7.901234567891,5,Basic Story,1232.0,2014
106,11,Rick and Morty,2014-04-14,"
    Beth and Jerry head for an iceberg of a date leaving Rick in charge. Morty doesn't get to go on any more adventures if the house isn't in the same condition when they get back.    ",8.501234567891,1,Ricksy Business,6853.0,2014
107,13,Community,2014-04-17,"
    When the group learns about Greendale's first dean, they embark on a mission to find his old computer lab; Subway enlists Chang to spy on the group as part of its plan to take over the school.    ",8.301234567891,5,Basic Sandwich,1332.0,2014
108,1,Community,2015-03-17,"
    Dean Pelton hires an administrative consultant to organize things at Greendale.    ",7.901234567891,6,Ladders,1496.0,2015
109,2,Community,2015-03-17,"
    Jeff and Frankie ask an inventor for help extracting Dean Pelton from his virtual reality world.    ",7.701234567891,6,Lawnmower Maintenance & Postnatal Care,1349.0,2015
110,3,Community,2015-03-24,"
    The Greendale gang goes on the offensive when a rival college releases an attack ad.    ",7.901234567891,6,Basic Crisis Room Decorum,1252.0,2015
111,4,Community,2015-03-31,"
    Dean Pelton is asked to lie; Chang auditions for a stage adaptation of ""The Karate Kid.""    ",8.201234567891,6,Queer Studies & Advanced Waxing,1270.0,2015
112,5,Community,2015-04-07,"
    A prisoner attends Greendale via telerobot; Britta tries to get around one of Annie's rules.    ",7.901234567891,6,Laws of Robotics & Party Rights,1167.0,2015
113,6,Community,2015-04-14,"
    A hacker threatens to publish emails unless a scheduled appearance by a racist comic is canceled.    ",7.801234567891,6,Basic Email Security,1189.0,2015
114,7,Community,2015-04-21,"
    An ex-boyfriend persuades Britta to join a guerilla marketing campaign.    ",7.501234567891,6,Advanced Safety Features,1132.0,2015
115,8,Community,2015-04-28,"
    The committee, along with a movie producer named Maury, help Abed complete his unfinished film.    ",8.001234567891,6,Intro to Recycled Cinema,1131.0,2015
116,9,Community,2015-05-05,"
    When a clever clever con man, Professor DeSalvo, uses his class to cheat the study group, they enlist Jeff to get revenge. The situation goes awry as Britta and Dean Pelton get involved in Jeff and Professor DeSalvo's scamming competition.    ",7.801234567891,6,Grifting 101,1124.0,2015
117,10,Community,2015-05-12,"
    While on a road trip to get rid of a Greendale artifact, Abed turns a situation into a feature film.    ",7.701234567891,6,Basic RV Repair and Palmistry,1127.0,2015
118,11,Community,2015-05-19,"
    When a secret game of paintball occurs on campus, Frankie threatens to expel those who participate.    ",9.101234567891,6,Modern Espionage,1525.0,2015
119,12,Community,2015-05-26,"
    A marriage proposal in Jeff's law class exposes a connection between the future bride and groom.    ",8.601234567891,6,Wedding Videography,1294.0,2015
120,13,Community,2015-06-02,"
    As their sixth year at Greendale draws to a close, Abed asks everyone to imagine pitching a TV show about what they would do in season seven.    ",9.601234567891,6,Emotional Consequences of Broadcast Television,3014.0,2015
121,1,Rick and Morty,2015-07-26,"
    Having restarted time, Rick, Morty and Summer are in a quantum-uncertain state of existence. An argument leads to the creation of two alternate timelines, which need to be stitched back together fast if they are to escape quantum collapse.    ",8.901234567891,2,A Rickle in Time,7789.0,2015
122,2,Rick and Morty,2015-08-02,"
    Rick and Morty try to save a gas life form while Jerry resides in a daycare made for Jerrys.    ",8.901234567891,2,Mortynight Run,7498.0,2015
123,3,Rick and Morty,2015-08-09,"
    Rick gets emotional. Beth and Jerry get into a fight.    ",8.601234567891,2,Auto Erotic Assimilation,7261.0,2015
124,4,Rick and Morty,2015-08-16,"
    The Smith house is locked down after parasites threaten to take over the world by multiplying through flashbacks.    ",9.601234567891,2,Total Rickall,10804.0,2015
125,5,Rick and Morty,2015-08-23,"
    Rick and morty must aid Earth after a giant head disrupts the planet, demanding to see a hit song performed.    ",8.301234567891,2,Get Schwifty,7168.0,2015
126,6,Rick and Morty,2015-08-30,"
    Rick is having trouble with his car and they have to fix it by traveling to the microverse.    ",9.301234567891,2,The Ricks Must Be Crazy,8532.0,2015
127,7,Rick and Morty,2015-09-13,"
    Rick joins in on some hijinks by transferring his consciousness into teenage ""Tiny Rick."" Beth and Jerry sort out their relationship.    ",8.501234567891,2,Big Trouble in Little Sanchez,6587.0,2015
128,8,Rick and Morty,2015-09-20,"
    Jerry is faced with the difficult decision of losing his manhood in order to save an alien leader from imminent death. Meanwhile, Rick, Morty and Summer explore the possibilities of interdimensional television.    ",7.701234567891,2,Interdimensional Cable 2: Tempting Fate,6919.0,2015
129,9,Rick and Morty,2015-09-27,"
    Rick and Morty arrive on an alien planet to fix their ship just as the day of the purge begins there, Jerry and Summer work on their father-daughter relationship, but his lack of employment keeps coming up.    ",8.601234567891,2,Look Who's Purging Now,6833.0,2015
130,10,Rick and Morty,2015-10-04,"
    The Smith family is invited to the wedding of Rick's best friend, Birdperson. Things go south when it's discovered that the bride isn't who she says she is.    ",9.401234567891,2,The Wedding Squanchers,8723.0,2015
131,1,Rick and Morty,2017-04-01,"
    Rick, still in galactic prison, puts an intricate escape plan into action. Back on Earth, which is now under federation control, Morty and Summer have an argument about their grandpa.    ",9.601234567891,3,The Rickshank Rickdemption,14027.0,2017
